pair_index,pointwise_sd,n_subsamples_covered
303,0.006038723833744451,3
304,0.008357938103544852,3
305,0.027280707141512508,3
306,0.009067313222576343,3
307,0.019207078459803628,3
308,0.018901353057560084,3
309,0.0054502382480490835,3
310,0.04797706534471722,3
311,0.030395482913466068,3
312,0.014668572620347192,3
313,0.026816797395363138,3
314,0.010438824447774435,3
315,0.026319837033503282,3
316,0.007464886336753343,3
317,0.01854275763049096,3
318,0.016359488186818084,3
319,0.012783323568997003,3
320,0.009191343970560392,3
321,0.02072565968331326,3
322,0.03660754314990149,3
323,0.031385944526170544,3
324,0.010249840873352269,3
325,0.008824260614705186,3
326,0.009395009178107884,3
327,0.005486574360012571,3
328,0.007864899422831119,3
329,0.009542041240795787,3
330,0.009666425495621302,3
331,0.02342174055559423,3
332,0.0058824818255386975,3
333,0.008247560614683624,3
334,0.005455079191749798,3
335,0.019553611456654546,3
336,0.019052738201301215,3
337,0.009591075028482604,3
338,0.0023162847773182398,3
339,0.016127261380339767,3
340,0.011830458917606888,3
341,0.009919338698244863,3
342,0.0048605814758568055,3
343,0.055991939702019995,3
344,0.00811327476049021,3
345,0.07942709015833836,3
346,0.03824853313353142,3
347,0.002438645222283167,3
348,0.004978477420604937,3
349,0.035463483177838366,3
350,0.010212120824920961,3
351,0.004261776495082975,3
352,0.011215755724514512,3
353,0.01261231329528108,3
354,0.003447392152110419,3
355,0.009724776024305331,3
356,0.00789440491280941,3
357,0.0943022969063902,3
358,0.01034131307702486,3
359,0.04199218500875136,3
360,0.012010677468268532,3
361,0.016032199121629374,3
362,0.015709615412045935,3
363,0.025122183837964485,3
364,0.005488607499237944,3
365,0.0023072650694662355,3
366,0.013412446876668429,3
367,0.009866458227110159,3
368,0.0014917261892557854,3
369,0.019308985942092852,3
370,0.00412097746010641,3
371,0.009196139825622512,3
372,0.004716255901109065,3
373,0.010504768138490779,3
374,0.008005801302552486,3
375,0.013116491557277862,3
376,0.008355742634129134,3
377,0.00909851344080875,3
378,0.02278029516477698,3
379,0.016773444061518407,3
380,0.0014937218927619082,3
381,0.008637780345658548,3
382,0.006156230053970621,3
383,0.008161530738141456,3
384,0.011536373819781507,3
385,0.05195727106688865,3
386,0.012072663495082214,3
387,0.0015190989100629846,3
388,0.00302090659709272,3
389,0.011848968248562615,3
390,0.00788230667104307,3
391,0.06994251122812443,3
392,0.0036065793550484767,3
393,0.011330279429531551,3
394,0.030462759798460623,3
395,0.008977428304853513,3
396,0.004959571086997817,3
397,0.00658366465546072,3
398,0.0018755679519528148,3
399,0.025741095815849373,3
400,0.00847530209226108,3
401,0.010998881668769908,3
402,0.0039128812723168635,3
403,0.03854788292652648,3
404,0.007118540620650157,3
405,0.10835482853499183,3
406,0.012444556190100804,3
407,0.03898380883917763,3
408,0.028988519862323148,3
409,0.01028930231277464,3
410,0.01111481936694979,3
411,0.03093403311563323,3
412,0.0698993449846126,3
413,0.010950320935386785,3
414,0.03138535644827449,3
415,0.010263343823712134,3
416,0.0038838578967432397,3
417,0.01437431014225699,3
418,0.005787980683193447,3
419,0.015183591649616555,3
420,0.009745857893077792,3
421,0.01596075189213179,3
422,0.012471279485455738,3
423,0.008566362109600436,3
424,0.009875149862200141,3
425,0.016307798287488014,3
426,0.009262475944820785,3
427,0.012036115194326541,3
428,0.017917977097467584,3
429,0.010601957949268603,3
430,0.008631868342046326,3
431,0.0024096690969077146,3
432,0.00870862043827678,3
433,0.004381174948148887,3
434,0.010743226305544683,3
435,0.024477221818072523,3
436,0.018573305963304334,3
437,0.020693578691810977,3
438,0.007912712150833143,3
439,0.011931054086459674,3
440,0.08710347183856237,3
441,0.00996467987174194,3
442,0.011157729101683302,3
443,0.013355900694266464,3
444,0.006344230368258008,3
445,0.015706340569636597,3
446,0.007699876929988673,3
447,0.005010382488810786,3
448,0.001983944850317417,3
449,0.016931078867020173,3
450,0.010320006122900419,3
451,0.0008529857743799938,3
452,0.0202737964218231,3
453,0.022027227164553832,3
454,0.011001403986080106,3
455,0.016216021481333595,3
456,0.02704083393246272,3
457,0.015233599169107381,3
458,0.007170792944457305,3
459,0.02585050699168004,3
460,0.026144523803916887,3
461,0.0022708372759050214,3
462,0.016949195320623188,3
463,0.011044440957383968,3
464,0.007378079268771419,3
465,0.016363396133339127,3
466,0.015217072538045173,3
467,0.006188844254198393,3
468,0.004745571476914209,3
469,0.021349483666637192,3
470,0.00997147925804916,3
471,0.01317379211275745,3
472,0.005527769834406007,3
473,0.0027243179432858114,3
474,0.00885109693440224,3
475,0.01317839187927224,3
476,0.004225228686442351,3
477,0.011924760061326574,3
478,0.0010527931493665447,3
479,0.04110589353734559,3
480,0.009071510790973571,3
481,0.011378114262625912,3
482,0.01320649627734931,3
483,0.03163811937904037,3
484,0.009935969898031107,3
485,0.8153982640564936,3
486,0.02475360996100167,3
487,0.012747058537453249,3
488,0.005969265187563288,3
489,0.005563138379866199,3
490,0.005353505161044071,3
491,0.010779680873314572,3
492,0.01097498479179978,3
493,0.012393061497951111,3
494,0.01579072410905003,3
495,0.0076572199962983475,3
